Matricula tramo;Tipo Tramo;Tipo de conductor 1;Longitud Real (Km);Resistencia (ohmios);Reactancia (ohmios);Modelo constructivo 1;Impedancia (ohmios);Estructura de red
NBZ7080837;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.016456924;0.002057119;0.00172798;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002686569;RACIMO
NBZ7080838;AEREO;LA-110;0.716750327;0.220042929;0.260897785;350130 CABLE AL-ACERO LA 110;0.341301262;RACIMO
NBZ7080839;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.596133832;0.074516885;0.062594183;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.097318023;RACIMO
NBZ7080789;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.121517452;0.015189717;0.012759361;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.01983756;SECUNDARIO
NBZ7080790;AEREO;UNI-AL-150-RS;0.085889457;0.017693287;0.010993888;330020 CABLE RS 12/20 KV 3X150 AL/50AC;0.020830696;SECUNDARIO
NBZ7080792;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.652221202;0.081527717;0.068483278;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.106474072;SECUNDARIO
NBZ7080779;AEREO;LA-30;0.054156614;0.050493538;0.019586796;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.054159395;RACIMO
NBZ7080829;AEREO;LA-56;0.13;0.059339933;0.038174715;350120 CABLE AL-ACERO LA 56;0.070558749;RACIMO
NBZ7080781;AEREO;LA-56;0.19908215;0.122235693;0.078636967;350120 CABLE AL-ACERO LA 56;0.145345584;RACIMO
NBZ7080900;AEREO;LA-30;0.186568841;0.200560674;0.077798881;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.215121478;RACIMO
NBZ7080883;AEREO;PAS-50;0.076473367;0.04764273;0.031353962;247548 CABLE FORRADO 24KV 1X50 ALM;0.057034206;SECUNDARIO
NBZ7080782;SUBTERRANEO;UNI-AL-95 -RHZ1-OL;0.008495187;0.002718463;0.001019424;330040C CABLE RHZ1-OL 12/20 KV  1X95 KAL+H16;0.00290332;RACIMO
NBZ7080825;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.101247596;0.008400361;0.007056303;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.010970755;PRINCIPAL
NBZ7080824;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.365534702;0.041533306;0.034887977;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.054241925;PRINCIPAL
NBZ7080844;AEREO;LA-56;0.017424028;0.01069826;0.006882431;350120 CABLE AL-ACERO LA 56;0.012720874;RACIMO
NBZ7080828;AEREO;LA-56;0.101699397;0.062443525;0.040171321;350120 CABLE AL-ACERO LA 56;0.074249104;RACIMO
NBZ7080907;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.003121853;0.000354716;0.000297961;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.000463254;PRINCIPAL
NBZ7080906;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.009107658;0.001034843;0.000869268;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.001351491;PRINCIPAL
NBZ7080867;AEREO;LA-30;1.206743723;1.297251463;0.503212869;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;1.391432524;RACIMO
NBZ7080890;AEREO;LA-56;1.400556538;0.859942377;0.553220212;350120 CABLE AL-ACERO LA 56;1.022523046;SECUNDARIO
NBZ7080780;SUBTERRANEO;UNI-AL-240-RHV;0.187723608;0.037273895;0.03131007;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.048679192;PRINCIPAL
NBZ7080901;AEREO;LA-56;0.036733755;0.022554547;0.014509846;350120 CABLE AL-ACERO LA 56;0.026818711;RACIMO
NBZ7080819;AEREO;LA-30;0.020291319;0.021813216;0.008461498;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.023396865;RACIMO
NBZ7080820;AEREO;LA-56;0.070732901;0.043429993;0.027939489;350120 CABLE AL-ACERO LA 56;0.051640868;RACIMO
NBZ7080852;AEREO;LA-110;1.98;0.647526979;0.767751813;350130 CABLE AL-ACERO LA 110;1.004357457;PRINCIPAL
NBZ7080842;AEREO;LA-110;2.261;0.686169863;0.813569427;350130 CABLE AL-ACERO LA 110;1.064295173;PRINCIPAL
NBZ7080843;AEREO;LA-110;1.229;0.377220124;0.447257698;350130 CABLE AL-ACERO LA 110;0.585093558;PRINCIPAL
NBZ7080846;AEREO;LA-110;0.508;0.149788141;0.177598953;350130 CABLE AL-ACERO LA 110;0.232331395;PRINCIPAL
NBZ7080847;AEREO;LA-110;0.302;0.09310127;0.110387169;350130 CABLE AL-ACERO LA 110;0.144406274;PRINCIPAL
NBZ7080849;AEREO;LA-110;1.469;0.451586723;0.535431802;350130 CABLE AL-ACERO LA 110;0.700441182;PRINCIPAL
NBZ7080848;AEREO;LA-110;0.306;0.093320303;0.110646874;350130 CABLE AL-ACERO LA 110;0.14474602;PRINCIPAL
NBZ7080840;AEREO;LA-110;1.276;0.385851353;0.457491487;350130 CABLE AL-ACERO LA 110;0.598481178;PRINCIPAL
NBZ7080851;AEREO;LA-110;0.053;0.011823056;0.014018215;350130 CABLE AL-ACERO LA 110;0.018338349;PRINCIPAL
NBZ7080826;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.124666394;0.017728724;0.014892127;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.023153467;PRINCIPAL
NBZ7080810;AEREO;LA-56;0.75;0.471107632;0.303074121;350120 CABLE AL-ACERO LA 56;0.56017524;SECUNDARIO
NBZ7080811;AEREO;LA-56;0.5;0.266605705;0.171513438;350120 CABLE AL-ACERO LA 56;0.317010194;SECUNDARIO
NBZ7080913;AEREO;LA-30;0.084133618;0.090443641;0.035083719;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.097009897;RACIMO
NBZ7080914;AEREO;LA-56;0.025223968;0.015487517;0.009963468;350120 CABLE AL-ACERO LA 56;0.018415589;RACIMO
NBZ7080832;AEREO;LA-56;0.153;0.115260631;0.074149758;350120 CABLE AL-ACERO LA 56;0.137051821;RACIMO
NBZ7080788;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.43;0.053437375;0.044887394;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.069788478;PRINCIPAL
NBZ7080892;AEREO;LA-30;0.059;0.056478005;0.021908211;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.060578335;RACIMO
NBZ7080784;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.008;0.002080884;0.001747943;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002717606;PRINCIPAL
NBZ7080876;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.063;0.01117115;0.009383766;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.014589368;RACIMO
NBZ7080870;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.026;0.007500788;0.006300662;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.009795926;SECUNDARIO
NBZ7080813;AEREO;LA-110;0.071;0.022381864;0.026537454;350130 CABLE AL-ACERO LA 110;0.034715764;PRINCIPAL
NBZ7080801;SUBTERRANEO;UNI-AL-150-RHV;0.352;0.064880379;0.03527477;330060A CABLE RHV 12/20 KV 1X150 KAL+H16 UEFE 1.3.13.01;0.073849663;SECUNDARIO
NBZ7080856;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.2;0.019446487;0.016335048;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.025396843;PRINCIPAL
NBZ7080887;AEREO;LA-56;0.09006979;0.072378069;0.046562441;350120 CABLE AL-ACERO LA 56;0.086061873;RACIMO
NBZ7080894;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.416;0.049664982;0.041718584;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.064861782;PRINCIPAL
NBZ7080821;AEREO;LA-56;0.02;0.010639207;0.006844441;350120 CABLE AL-ACERO LA 56;0.012650656;RACIMO
NBZ7080888;AEREO;LA-56;0.0942635;0.075097583;0.048311964;350120 CABLE AL-ACERO LA 56;0.089295536;RACIMO
NBZ7080833;AEREO;LA-56;0.05;0.039516553;0.025421886;350120 CABLE AL-ACERO LA 56;0.046987556;RACIMO
NBZ7080818;AEREO;LA-56;0.1;0.107292376;0.069023594;350120 CABLE AL-ACERO LA 56;0.127577081;RACIMO
NBZ7080865;AEREO;LA-110;0.131;0.052270453;0.061975386;350130 CABLE AL-ACERO LA 110;0.081074961;RACIMO
NBZ7080841;AEREO;LA-110;0.2;0.060383007;0.071594179;350130 CABLE AL-ACERO LA 110;0.093658067;RACIMO
NBZ7080799;SUBTERRANEO;UNI-AL-150-RHZ1-OL;0.146;0.025893431;0.014077983;330060C CABLE RHZ1-OL 12/20 KV 1X150 KAL+H16;0.029473027;RACIMO
NBZ7080783;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.008;0.001253598;0.001053023;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.001637182;PRINCIPAL
NBZ7080877;SUBTERRANEO;UNI-AL-240-RHZ1;0.238;0.005929553;0.004980824;330070B CABLE RHZ1 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.007743914;PRINCIPAL
NBZ7080893;AEREO;LA-30;0.009477696;0.023086974;0.008955598;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.0247631;RACIMO
NBZ7080809;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.105;0.00821727;0.006902507;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.010731642;PRINCIPAL
NBZ7080836;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.416;0.05161633;0.043357715;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.067410216;PRINCIPAL
NBZ7080778;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.015;0.002257268;0.001896105;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002947961;PRINCIPAL
NBZ7080895;AEREO;LA-56;0.04;0.011818321;0.007602992;350120 CABLE AL-ACERO LA 56;0.014052694;SECUNDARIO
NBZ7080885;AEREO;LA-56;0.305801;0.098618299;0.06344337;350120 CABLE AL-ACERO LA 56;0.117263079;SECUNDARIO
NBZ7080787;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.325;0.040862475;0.034324478;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.05336583;PRINCIPAL
NBZ7080858;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.25;0.028813949;0.024203716;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.037630618;PRINCIPAL
NBZ7080823;AEREO;LA-56;0.035;0.016407412;0.010555257;350120 CABLE AL-ACERO LA 56;0.019509397;RACIMO
NBZ7080827;AEREO;LA-30;0.03;0.031555511;0.012240602;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.033846457;RACIMO
NBZ7080835;SUBTERRANEO;UNI-AL-150-RHZ1-OL;0.03;0.002735638;0.001487337;330060C CABLE RHZ1-OL 12/20 KV 1X150 KAL+H16;0.003113822;RACIMO
NBZ7080874;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.062;0.011069637;0.009298495;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.014456794;PRINCIPAL
NBZ7080817;AEREO;LA-56;0.12252229;0.319899201;0.205798343;350120 CABLE AL-ACERO LA 56;0.380379349;RACIMO
NBZ7080872;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.01;0.002114745;0.001776386;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002761828;PRINCIPAL
NBZ7080796;AEREO;LA-56;0.175;0.107355341;0.069064103;350120 CABLE AL-ACERO LA 56;0.127651945;SECUNDARIO
NBZ7080850;AEREO;LA-30;0.055;0.056510434;0.021920791;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.060613118;RACIMO
NBZ7080886;AEREO;LA-30;0.01986545;0.01170702;0.004541235;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.012556955;RACIMO
NBZ7080786;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.32;0.036240872;0.030442331;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.047330078;SECUNDARIO
NBZ7080866;SUBTERRANEO;UNI-AL-150-RHZ1-OL;0.32;0.043988787;0.023916233;330060C CABLE RHZ1-OL 12/20 KV 1X150 KAL+H16;0.050069947;RACIMO
NBZ7080798;AEREO;LA-56;0.02;0.013841808;0.008904746;350120 CABLE AL-ACERO LA 56;0.01645874;RACIMO
NBZ7080855;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.028;0.000716135;0.000601554;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.000935263;PRINCIPAL
NBZ7080812;AEREO;LA-30;0.06;0.061701436;0.023934415;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.066180989;RACIMO
NBZ7080854;AEREO;LA-56;0.015;0.017009754;0.010942757;350120 CABLE AL-ACERO LA 56;0.020225618;RACIMO
NBZ7080808;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.125;0.01377419;0.01157032;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.017988902;SECUNDARIO
NBZ7080863;AEREO;LA-40;0.051;0.029785357;0.015352093;35004A CABLE AL-ACERO LA 40;0.03350902;RACIMO
NBZ7080896;SUBTERRANEO;UNI-AL-240-RHZ1-OL;1.4;0.160858825;0.135121405;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.210079402;SECUNDARIO
NBZ7080899;SUBTERRANEO;UNI-AL-150-RHZ1-2OL;0.015;0.007818622;0.004250901;330060 CABLE RHZ1-2OL 12/20 KV 1X150 KAL+H16;0.008899494;RACIMO
NBZ7080861;AEREO;LA-110;0.036;0.010068262;0.011937614;350130 CABLE AL-ACERO LA 110;0.015616546;PRINCIPAL
NBZ7080814;AEREO;LA-110;0.18;0.036801435;0.043634269;350130 CABLE AL-ACERO LA 110;0.057081476;PRINCIPAL
NBZ7080862;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.03;0.001941439;0.001630809;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002535493;PRINCIPAL
NBZ7080884;AEREO;LA-30;0.265;0.578582942;0.224436343;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.620588362;RACIMO
NBZ7080903;SUBTERRANEO;DESCONOCIDO;0.03;0.004658893;0.003191023;1 SIN DATOS ESPECIFICOS;0.005646938;RACIMO
NBZ7080802;SUBTERRANEO;UNI-AL-150-RHV;0.32;0.059670139;0.032442018;330060A CABLE RHV 12/20 KV 1X150 KAL+H16 UEFE 1.3.13.01;0.067919143;SECUNDARIO
NBZ7080873;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.01;0.003859029;0.003241584;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.005039838;PRINCIPAL
NBZ7080859;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.385;0.044811103;0.037641324;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.058522683;PRINCIPAL
NBZ7080805;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.161;0.024192974;0.020322097;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.031595688;PRINCIPAL
NBZ7080875;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.062;0.010353133;0.008696632;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.013521049;PRINCIPAL
NBZ7080845;AEREO;LA-56;0.069;0.040810559;0.026254348;350120 CABLE AL-ACERO LA 56;0.048526205;SECUNDARIO
NBZ7080897;AEREO;LA-30;0.26;0.271083683;0.105155244;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.290764481;RACIMO
NBZ7080860;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.065;0.004205031;0.003532226;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.005491712;PRINCIPAL
NBZ7080797;SUBTERRANEO;UNI-AL-150-RHZ1-OL;0.005;0.002866622;0.001558552;330060C CABLE RHZ1-OL 12/20 KV 1X150 KAL+H16;0.003262914;RACIMO
NBZ7080800;SUBTERRANEO;UNI-AL-150-RHV;0.174;0.031183869;0.016954336;330060A CABLE RHV 12/20 KV 1X150 KAL+H16 UEFE 1.3.13.01;0.035494834;SECUNDARIO
NBZ7080864;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.03;0.001699389;0.001427487;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002219379;PRINCIPAL
NBZ7080880;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.005;0.001854395;0.001557692;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.002421814;RACIMO
NBZ7080857;SUBTERRANEO;UNI-AL-240-RHZ1-2OL;0.715209274;0.08353097;0.070166014;330070 CABLE RHZ1-2OL 12/20 KV 1X240 KAL+H16;0.109090298;PRINCIPAL
NBZ7080902;SUBTERRANEO;UNI-AL-240-RHZ1-OL;1.893912191;0.229079276;0.192426592;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.299174368;PRINCIPAL
NBZ7080785;AEREO;LA-56;0.02;0.0093873;0.006039061;350120 CABLE AL-ACERO LA 56;0.011162064;RACIMO
NBZ7080868;AEREO;LA-30;0.577221759;0.621200562;0.240968019;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.666299999;RACIMO
NBZ7080853;AEREO;LA-56;0.593241844;0.364248872;0.234329492;350120 CABLE AL-ACERO LA 56;0.433113784;SECUNDARIO
NBZ7080834;AEREO;LA-56;0.671160193;0.412092745;0.265108526;350120 CABLE AL-ACERO LA 56;0.49000302;SECUNDARIO
NBZ7080869;AEREO;LA-30;0.266190067;0.283620983;0.110018551;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.304212004;RACIMO