name;H1_age_years;H2_power_rating;H3_contribution_in_feeder;H4_faults;H5_Customers;H6_LV_connections
19A649;43;100;0.011596011;0;28;1
19A650;32;50;0.012218625;0;38;2
19A716;43;100;0.017325482;0;47;1
19A754;40;100;0.004149173;0;1;2
19P814;32;50;0.001587047;0;2;0
28AGM9;31;160;0.022290897;1;52;2
28AIN3;31;50;0.002514218;0;8;1
28AIQ3;31;50;0.00746623;0;22;2
28AIQ4;31;100;0.004610192;0;12;1
28ANG2;31;100;0.003754312;2;5;2
28ANG4;32;100;0.00142108;2;6;1
28ANG5;31;160;0.013098269;1;27;2
28ANG8;36;100;0.006739435;0;19;1
28ANH0;31;160;0.018778691;0;47;2
28APE6;31;160;0.012568528;2;5;2
28APE9;31;100;0.010597009;6;19;2
28APF0;42;100;0.012423978;6;16;1
28APF3;32;100;0.000498576;1;2;1
28APF5;31;160;0.014733843;4;27;2
28AQG2;31;100;0.015522564;0;45;2
28ARM7;31;160;0.02533695;0;71;2
28ARN3;48;100;0.011061775;4;23;1
28CBC9;32;250;0.051523861;0;102;8
28CCKN;16;630;0.063486747;0;102;4
28CCWV;16;630;0.046007551;0;80;4
28CDPG;15;630;0.02028678;0;37;4
28CDR2;107;630;0.116840613;6;320;8
28CDR3;33;400;0.030369759;0;95;4
28CDR5;32;160;0.018630879;4;51;4
28CFHW;15;400;0.025247313;0;50;4
28CFHX;15;400;0.021430074;2;43;4
28CFHY;15;400;0.018040775;0;45;4
28CFHZ;15;400;0.025802817;0;58;4
28CFKY;121;0;0;0;0;0
28CHHS;13;1000;0.071277942;7;181;8
28CHQD;13;400;0.07768706;1;202;4
28CIA6;26;400;0.04031827;1;73;8
28CIA7;26;400;0.040795409;5;67;8
28CIA8;26;400;0.043615243;1;86;8
28CIA9;26;400;0.027719485;1;47;8
28CIB0;26;250;0.0379964;0;70;8
28CIB1;26;400;0.033179199;0;59;8
28CIB2;26;250;0.037045798;0;69;8
28CIB3;26;250;0.053218039;1;97;8
28CIB4;26;250;0.050118782;0;95;8
28CIB5;26;160;0.024836931;1;48;8
28CIB9;26;0;0;0;0;0
28CIC8;26;50;0.015643285;0;29;4
28CIC9;26;160;0.035201189;0;69;6
28CIW1;26;630;0.06124781;1;111;8
28CJF4;26;0;0;0;0;0
28CJKK;12;630;0.025329346;0;58;4
28CLN4;24;630;0.065818173;2;123;8
28CMFM;11;250;0.016494127;1;43;4
28CNTW;10;250;0.045354214;0;124;4
28CPYL;10;0;0;0;0;0
28CPYN;10;0;0;0;0;0
28CQPQ;9;630;0.078761187;4;217;8
28CRQM;9;0;0;0;0;0
28CUB0;21;630;0.071777198;2;132;8
28CVC5;20;160;0.001359294;1;2;3
28CXN2;19;400;0.071585241;2;125;8
28CYL3;18;400;0.033579974;8;90;4
28CZP5;18;630;0.036548177;3;49;8
28PBLK;17;15;0.000475278;0;1;0
28PBVP;17;400;0.017395158;0;1;0
28PBZK;16;25;0.001617004;0;1;0
28PCAT;16;2000;0.126423825;0;1;0
28PCKK;16;200;0.00570333;0;1;0
28PFQB;121;25;0.000327941;0;1;0
28PJTZ;12;250;0.004467609;0;1;0
28PLPZ;11;25;0.000370716;0;1;0
28PNG6;120;10;0.000765197;0;1;0
28PNG7;120;30;0.00094105;0;1;0
28PNG9;120;10;0.001806055;0;1;0
28PNNZ;11;50;0.000655883;0;1;0
28PPE4;120;50;0.007350016;0;1;0
28PPE7;121;15;0.000404251;0;1;0
28PPF1;24;25;0.000808502;0;1;0
28PPF2;120;125;0.008575019;0;1;0
28PRQP;9;800;0.013878104;0;1;0
28PSJ3;22;15;0.000808502;0;1;0
28PST0;23;50;0.001617004;0;1;0
28PTA3;22;250;0.003675008;0;1;0
28PTM7;21;25;0.000418244;0;1;0
28PTQ3;21;250;0.015208881;1;1;0
28PVKN;6;25;0.000855297;0;1;0
28PXC6;19;50;0.001212753;0;1;0
28PYY2;18;250;0.006002513;0;1;0
45ABP7;19;50;0.001519003;0;3;2
45PCW7;121;160;0.012250027;0;1;0
45PYY8;121;75;0;0;0;0