name;H1_fault_duration;H2_faults;H3_defects;H4_defect_severity
19A649;0;0;0;0
19A650;0;0;2;1
19A716;0;0;0;0
19A754;0;0;0;0
19P814;0;0;0;0
28AGM9;22;1;0;0
28AIN3;0;0;0;0
28AIQ3;0;0;0;0
28AIQ4;0;0;0;0
28ANG2;83;2;0;0
28ANG4;84;2;0;0
28ANG5;100;1;0;0
28ANG8;0;0;0;0
28ANH0;0;0;0;0
28APE6;53;2;0;0
28APE9;291;6;0;0
28APF0;865;6;0;0
28APF3;46;1;0;0
28APF5;607;4;0;0
28AQG2;0;0;0;0
28ARM7;0;0;0;0
28ARN3;913;4;0;0
28CBC9;0;0;0;0
28CCKN;0;0;0;0
28CCWV;0;0;0;0
28CDPG;0;0;0;0
28CDR2;647;6;2;3
28CDR3;0;0;0;0
28CDR5;238;4;3;3
28CFHW;0;0;1;2
28CFHX;280;2;0;0
28CFHY;0;0;1;2
28CFHZ;0;0;0;0
28CFKY;0;0;0;0
28CHHS;630;7;3;2
28CHQD;4;1;0;0
28CIA6;152;1;0;0
28CIA7;1511;5;0;0
28CIA8;0;1;0;0
28CIA9;95;1;0;0
28CIB0;0;0;0;0
28CIB1;0;0;0;0
28CIB2;0;0;0;0
28CIB3;236;1;0;0
28CIB4;0;0;0;0
28CIB5;238;1;0;0
28CIB9;0;0;0;0
28CIC8;0;0;0;0
28CIC9;0;0;0;0
28CIW1;139;1;0;0
28CJF4;0;0;0;0
28CJKK;0;0;1;2
28CLN4;130;2;0;0
28CMFM;8;1;0;0
28CNTW;0;0;2;1
28CPYL;0;0;0;0
28CPYN;0;0;0;0
28CQPQ;335;4;1;2
28CRQM;0;0;0;0
28CUB0;163;2;0;0
28CVC5;140;1;0;0
28CXN2;695;2;0;0
28CYL3;634;8;1;1
28CZP5;100;3;0;0
28PBLK;0;0;0;0
28PBVP;0;0;0;0
28PBZK;0;0;0;0
28PCAT;0;0;0;0
28PCKK;0;0;0;0
28PFQB;0;0;0;0
28PJTZ;0;0;0;0
28PLPZ;0;0;0;0
28PNG6;0;0;0;0
28PNG7;0;0;0;0
28PNG9;0;0;0;0
28PNNZ;0;0;0;0
28PPE4;0;0;0;0
28PPE7;0;0;0;0
28PPF1;0;0;0;0
28PPF2;0;0;0;0
28PRQP;0;0;0;0
28PSJ3;0;0;0;0
28PST0;0;0;0;0
28PTA3;0;0;0;0
28PTM7;0;0;0;0
28PTQ3;0;1;0;0
28PVKN;0;0;0;0
28PXC6;0;0;0;0
28PYY2;0;0;0;0
45ABP7;0;0;0;0
45PCW7;0;0;0;0
45PYY8;0;0;0;0