name,age_years,H1_fail_prob,H2_criticality,H3_energy,asset_type
1KV13/1,6,0.064738098,57,348.75,Line
1KV13/2,38,0.243819791,57,348.75,Line
1KV13/3,8,0.13921435,88,1230.416667,Line
1KV13/4,9,0.083978003,88,1230.416667,Line
1KV17/1,3,0.049915053,12,302.6041667,Line
1KV17/10,50,0.208823341,88,1230.416667,Line
1KV17/11,12,0.05744835,88,1230.416667,Line
1KV17/12,48,0.109848423,88,1230.416667,Line
1KV17/2,54,0.036439645,12,302.6041667,Line
1KV17/3,47,0.085618812,12,302.6041667,Line
1KV17/4,8,0.056768789,12,302.6041667,Line
1KV17/4,14,0.002002936,12,302.6041667,Line
1KV17/5,4,0.027206958,12,302.6041667,Line
1KV17/6,50,0.208823341,57,348.75,Line
1KV17/7,44,0.016212696,57,348.75,Line
1KV17/8,44,0.084517106,57,348.75,Line
1KV17/9,48,0.040556567,88,1230.416667,Line
1KV22/1,8,0.058744334,58,872.0895522,Line
1KV22/10,6,0.044479931,58,872.0895522,Line
1KV22/11,6,0.038048565,58,872.0895522,Line
1KV22/12,1,0.009203471,58,872.0895522,Line
1KV22/13,39,0.057875399,58,872.0895522,Line
1KV22/2,15,0.107307766,58,872.0895522,Line
1KV22/3,6,0.022350835,58,872.0895522,Line
1KV22/4,14,0.093278235,58,872.0895522,Line
1KV22/5,17,0.094376625,58,872.0895522,Line
1KV22/6,19,0.11347162,58,872.0895522,Line
1KV22/7,52,0.071478145,58,872.0895522,Line
1KV22/8,15,0.083752908,58,872.0895522,Line
1KV22/9,5,0.028735453,58,872.0895522,Line
1KV3/1,12,0.233067127,88,1230.416667,Line
1KV3/10,47,0.115893369,88,1230.416667,Line
1KV3/11,10,0.018660692,88,1230.416667,Line
1KV3/12,12,0.03949376,88,1230.416667,Line
1KV3/12,12,0.047203334,88,1230.416667,Line
1KV3/13,16,0.052308641,88,1230.416667,Line
1KV3/14,18,0.11803406,88,1230.416667,Line
1KV3/15,5,0.00718129,88,1230.416667,Line
1KV3/16,1,0.006042272,88,1230.416667,Line
1KV3/17,19,0.178555612,88,1230.416667,Line
1KV3/18,19,0.101581915,88,1230.416667,Line
1KV3/2,45,0.073980513,88,1230.416667,Line
1KV3/2,17,0.000587378,88,1230.416667,Line
1KV3/3,13,0.058883083,88,1230.416667,Line
1KV3/4,43,0.090894009,88,1230.416667,Line
1KV3/5,11,0.095625226,88,1230.416667,Line
1KV3/6,4,0.019014264,88,1230.416667,Line
1KV3/7,20,0.09686533,88,1230.416667,Line
1KV3/8,19,0.12770323,88,1230.416667,Line
1KV3/9,16,0.028113391,88,1230.416667,Line
1KV18/7,41,0.06452576,57,348.75,Line
1KV18/6,38,0.062690498,57,348.75,Line