Support_ID,H1_KPI_weighted_power,H2_birdlife_KPI,H3_defecs_severity_KPI
RPUDB12T//74-22-4,5.42,10,1
RPUWQIFO//74-22-5-CT,4.33,0,0
RPWULH1G//74-22-3,5.42,0,3
RQ0W7MUL//74-22-2,5.42,0,5
RQ2HC35J//74-27,6.5,10,0
RQ2NBO45//79,7.58,0,0
RQ2O32O0//74-26,6.5,10,0
RQ2O34P5//74-2-1-CT,4.33,0,0
RQ2O35AP//81,7.58,0,0
RQ2RSBDX//74-10-1-CT,4.33,0,0
RQ2TB80M//74-3,6.5,0,0
RQ2U2NH2//78,7.58,0,0
RQ2VJJ4Q//74-4,6.5,0,5
RQ2WAWCD//74-25,6.5,10,0
RQ2WB0PA//79-1-CT,5.41,0,1
RQ3227SQ//77,7.58,0,0
RQ351XNN//74-3-1-CT,4.33,0,0
RQ351XTF//74,7.58,0,0
RQ35REIC//74-6,6.5,0,5
RQ36IS0S//74-24,6.5,10,0
RQ36IS7R//74-22-1,5.42,0,5
RQ36ITU7//74-2,6.5,0,0
RQ37A8RE//74-28,6.5,10,5
RQ38R6MC//74-7,6.5,0,0
RQ38R73O//74-1,6.5,0,0
RQ38R785//76,7.58,0,0
RQ3D9RJP//74-23,6.5,10,0
RQ3E19WA//74-8,6.5,0,0
RQ3E1AI0//75,7.58,0,1
RQ3HQH2A//74-10,6.5,0,5
RQ3IHW6E//74-9,6.5,0,0
RQ3K0TFG//82,7.58,0,10
RQ3M949X//74-22,6.5,0,0
RQ3OHGEU//74-11,6.5,0,0
RQ3TPIUD//74-21,6.5,0,5
RQ3TPJNW//74-12,6.5,0,0
RQ4087VA//74-13,6.5,0,0
RQ44OTL4//74-20,6.5,0,5
RQ44OU50//74-14,6.5,0,0
RQ4AOEG4//74-15,6.5,0,0
RQ4C7A7X//74-19,6.5,0,0
RQ4CWPID//74-16,6.5,0,0
RQ4CWRDB//83,7.58,0,1
RQ4HFDQA//74-17,6.5,0,0
RQ4KF5UF//74-18,6.5,0,0
RQ4O6CAL//74-29,6.5,10,0
RQ4RVMH0//84,7.57,0,0
RQ52UWT5//80-1-CT,5.41,0,0
RQ5BU910//73,7.58,0,0
RQ5HTS99//85,7.57,0,0
RQ61SCFJ//74-30,6.5,10,2
RQ6M1DXH//86,7.57,0,0
RQ6R9HBI//86-1-CT,5.41,0,0
RQ7JG075//87,7.57,0,0
RQ7SF9TF//72,7.59,0,0
RQ82N36S//74-31,6.5,10,1
RQ82N3G8//74-33-5,5.42,10,1
RQ8AUX4A//74-33-6-CT,4.33,10,1
RQ8EM99R//88,7.57,0,2
RQ8UCGAG//74-33-4,5.42,10,10
RQ9PISCN//89,7.57,0,0
RQ9W9OJR//74-32,6.5,10,10
RQA9HCG7//74-33-3,5.42,10,10
RQAA8TM4//71,7.59,0,0
RQAKP3CS//90,7.57,0,0
RQAUFPTH//74-33-2,5.42,10,10
RQB7NGUI//91,7.57,0,0
RQBDN1ED//92-CT,6.49,0,0
RQBMM8KX//74-33-1,5.42,10,2
RQBQDFTA//74-33,6.5,10,6
RQCQ2FER//70,7.59,0,1
RQE5WOGE//74-34,6.5,10,1
RQFGTBSJ//69,7.59,0,0
RQFQK18D//74-35,6.5,10,1
RQHIFFCM//74-36,6.5,10,2
RQHUEI6N//74-37-CT,5.42,10,0
RQI6UR6H//68,7.59,0,0
RQJ7B5LL//68-1,6.51,0,0
RQK7030R//68-2,6.51,0,0
RQKTFCF1//67,7.59,0,0
RQL85UHJ//68-3,6.51,0,0
RQMA3527//68-4,6.51,0,0
RQMVQX85//66-1-CT,5.42,0,0
RQN6Q9V3//66,7.59,0,1
RQN6QA89//68-5,6.51,0,0
RQQ6IGW0//65,7.59,0,1
RQSVBDBP//64,7.59,0,1
RQVKLDLX//63,7.59,0,0
RQX20JL3//59-19-CT,5.43,0,0
RQXM7I3A//59-18,6.51,0,0
RR09VDW6//62,7.6,0,0
RR0BE8R1//59-17,6.51,0,10
RR0XTIF1//59-16,6.51,0,1
RR1K2GVE//59-15,6.51,0,1
RR24QJAE//59-14,6.51,0,10
RR2KGTFU//59-13,6.51,0,1
RR30OABW//61,7.6,0,0
RR356VST//59-12,6.51,0,1
RR3NV07V//59-11,6.51,0,1
RR4ATDQC//59-10,6.51,0,0
RR4MSGN9//59-9,6.51,0,0
RR5H9AOR//59-8,6.51,0,0
RR5OPPNV//60,7.6,0,0
RR6FFC1D//59-7,6.51,0,0
RR6GW843//59-7-1-CT,4.34,0,0
RR7L3RTG//59-6,6.51,0,0
RR8NQHGC//59-5,6.51,0,0
RR9JO7KN//59-4,6.51,0,0
RR9L73WC//59,7.6,0,0
RR9U6EJ3//59-1,6.51,0,0
RRAB59FH//59-3-A1,5.43,0,0
RRAPCNEN//59-3,6.51,0,1
RRAVC7SP//59-3-B1,5.43,0,0
RRBTI956//59-2,6.51,0,1
RRDA61MW//58,7.6,0,0
RRH7CSX5//57,7.6,0,0
RRKD4KI7//56,7.6,0,0
RRNHDFXP//55,7.6,0,0
RRQJE09U//54,7.6,0,0
RRRUAJIN//53,7.6,0,0
RRTA6V0M//52,7.61,0,1
RRULSVBA//51,7.61,0,0
RRVUH5EV//50,7.61,0,5
RRXRKN1Q//49,7.61,0,0
RS1HX76K//48,7.61,0,0
RS29E92M//47,7.61,0,0
RS30TAWM//46,7.61,0,0
RS40I8FR//45,7.61,0,0
RS53WD64//44,7.61,0,0
RT82CO7C//D34-3,6.53,0,0
RT8L2QFF//D34-2,6.53,0,0
RT9A9GXW//D34-1,6.53,0,0
RTIES7OX//D31-1-CT,5.45,0,0
RVWXPSPU//D6-1-CT,5.46,0,0
SR2JKGWT/80,7.66,0,0
SR31ARAI//74-5,6.5,0,0
S5OHC14B//D8,7.26,0,0
S5OKBRG7//D7,7.33,0,0
S5ONBJQT//D6,7.4,0,0
S5OQBC3W//D5,7.46,0,0
S5OSJNC8//D4,7.53,0,0
S5OVJFN8//D3,7.59,0,0
S5OWAURA//D2X2,5.84,0,0
S5P2246G//D1,7.73,0,0
S5PE16WJ//D2,7.66,0,0
S5PFI312//D2X1,5.84,0,0
S5QI6POO//D9,7.2,0,0
S5S3B69E//D10,7.13,0,0
S5TGG2EI//D11,7.06,0,0
S5VC2NN1//D12,7.0,0,0
S5WXFFCR//D13,6.93,0,0
S61G0G0W//D14,6.87,0,0
S62DF24C//D15,6.8,0,0
S62H68M6//D18-5CT,6.91,0,0
S63NK5H8//D18-4,6.91,0,0
S644J141//D16,6.73,0,0
S651XKPV//D18-3,6.91,0,1
S66F4H2C//D18-2,6.91,0,0
S68C80M4//D18-1,6.91,0,0
S68L7B9D//D18,6.6,0,0
S68WEX0Q//D18-1-1CT,6.05,0,0
S69FM59I//D17,6.67,0,0
S6B014RF//D19,6.54,0,0
S6DKBCST//D20,6.47,0,0
S6GW2MLG//D21,6.4,0,0
S6JOCF2T//D22,6.34,0,0
S6MND6XT//D23,6.27,0,0
S6POMA23//D24,6.21,0,0
S6TMKI7P//D25,6.14,0,0
S6WGD6QK//D26,6.07,0,0
S6X7S4UK//189-15-CT,5.91,0,0
S6XPQQ6E//189-14,6.76,0,0
S7058P58//189-13,6.76,0,0
S70SFJ8S//D27,6.01,0,0
S71467HF//189-12,6.76,0,5
S71G5AC8//189-11,6.76,0,0
S73NP0J2//189-10,6.76,0,0
S74SM4JO//D28,5.94,0,0
S75OJP8F//189-9,6.76,0,0
S77KVV12//D29,5.88,0,0
S78157MX//189-8,6.76,0,0
S783DILX//189-6-1-CT,5.07,0,0
S7AAX8X3//189-7,6.76,0,0
S7AKO0K3//189-6,6.76,0,0
S7ALFFNX//189-7-1,5.91,0,0
S7ATNEM5//D30,5.81,0,0
S7BSKRFB//189-5,6.76,0,0
S7CKR95N//D59-3-11,6.01,0,0
S7CN1LDA//189-4,6.76,0,0
S7CT14OH//D59-3-10-1-CT,4.3,0,0
S7CWQBXF//D59-3-10,6.01,0,0
S7DAPFTG//189-3,6.76,0,0
S7DXW5GE//D59-3-9,6.01,0,0
S7EULF2I//D31,5.74,0,0
S7FUA7XL//D59-3-8,6.01,0,0
S7I8CKKC//D59-3-7,6.01,0,0
S7K3X81U//D59-3-6,6.01,0,0
S7K8FV77//D59,3.9,0,0
S7KO6AMP//D32,5.68,0,0
S7LWSE9U//D59-3-5-2-CT,4.3,0,0
S7M72A6O//D59-3-3,6.01,0,0
S7MARHA0//D59-3-5,6.01,0,0
S7MBIWHE//D59-3-3-1-CT,4.3,0,0
S7ML9NUP//D59-3-5-1,5.16,0,0
S7N5XQHB//D59-3-2,6.01,0,0
S7NGG35B//D33,5.61,0,0
S7NHWU4V//D58,3.96,0,0
S7NTVW28//D59-3-4,6.01,0,0
S7OJ4NLW//D57,4.03,0,0
S7OPTMG9//D59-1,6.87,0,0
S7PI254F//D59-3-1,6.01,0,0
S7Q6HER3//D59-2,6.87,0,0
S7R0WCF7//D34,5.55,0,0
S7R36JTR//D59-3,6.87,0,0
S7RO508P//D56,4.09,0,0
S7S2TH5D//D59-4,6.87,0,0
S7T5I6LW//D59-5,6.87,0,0
S7TF8XFQ//D55,4.16,0,1
S7UGEPQA//D59-5-1,6.01,0,0
S7UK5WW1//D59-6,6.87,0,0
S7URMHAB//D35,5.48,0,0
S7VJ3F5T//D59-7,6.87,0,0
S7VJ3FC1//D59-5-2,6.01,0,0
S7WF15FQ//D59-5-3,6.01,0,0
S7WIQCFE//D59-8,6.87,0,0
S7XG6WWF//D59-5-4-CT,5.16,0,0
S7XMVW0M//D59-9,6.87,0,0
S8005LC0//D54,4.23,0,0
S806545G//D59-10,6.87,0,0
S8065866//D36,5.41,0,0
S814B5B6//D59-11,6.87,0,0
S81H1N5Q//D59-12-1-CT,5.16,0,0
S81W0I6H//D59-12,6.87,0,0
S82CXD65//D59-13,6.87,0,0
S83RL7FF//D53,4.29,0,0
S841T57R//D37,5.35,0,0
S84734ES//D59-14,6.87,0,0
S84736GE//D52,4.36,0,0
S84J2977//D53-1,6.88,0,0
S84NIXJ3//D38,5.28,0,0
S84NIXPC//D37-1,6.89,0,0
S84S1M0G//D37-1-1,6.03,0,0
S84WIA2F//D39,5.22,0,0
S8530W8B//D40,5.15,0,0
S853QBGQ//D53-2,6.88,0,0
S856Q41I//D51,4.42,0,0
S859PVF1//D42-2-CT,6.03,0,0
S85AHD29//D37-1-3CT,6.03,0,0
S85GGRDN//D59-15,6.87,0,0
S85IP4H6//D59-16-1CT,6.01,0,0
S85JGM0G//D50,4.49,0,0
S85UOAUI//D42-1,6.89,0,0
S860FGKE//D53-3,6.88,0,0
S8646LTF//D59-16,6.87,0,0
S865NLKC//D41,5.08,0,0
S86A6896//D53-4,6.88,0,0
S86FECA3//D49,4.56,0,0
S86G5S8R//D42,5.02,0,0
S86JV1D6//D43,4.95,0,0
S86ODNJ7//D44,4.89,0,0
S86S4VRT//D37-1-X-1,5.17,0,0
S86UD7R5//D45,4.82,0,0
S86WLITM//D46,4.75,0,0
S872CQ0G//D47,4.69,0,0
S873TJ4G//D59-17,6.87,0,0
S8763X5V//D48,4.62,0,0
S87L2SME//D44-1,6.89,0,0
S885QRIM//D59-18,6.87,0,0
S88D9C3N//D40-1,6.89,0,0
S88WOSRW//D44-2-CT,6.03,0,0
S89ANS5P//D59-19,6.87,0,0
S89RV4VL//D37-2,6.89,0,0
S8B6AK5T//D37-3,6.89,0,0
S8B71UGX//D59-20,6.87,10,0
S8BMQAWE//D40-2,6.89,0,0
S8C3P1J7//D59-21,6.87,10,0
S8D5METU//D37-4,6.89,0,0
S8DICRSO//D59-22,6.87,10,0
S8E32U09//D59-26-1-CT,5.16,10,0
S8EPIACX//D40-3,6.89,0,0
S8EUQ8WK//D59-26,6.87,10,0
S8FV6L93//D59-27,6.87,10,0
S8GBE6DU//D37-5,6.89,0,0
S8GX3TNL//D59-28,6.87,10,0
S8HV9UT5//D59-29,6.87,10,0
S8I411LT//D37-6,6.89,0,0
S8IUWS47//D59-30,6.87,10,0
S8IVOEH2//D37-6-1,6.03,0,0
S8J1FLEQ//D40-4,6.89,0,0
S8JGEGPR//D37-6-2,6.03,0,0
S8JQ58J9//D37-7,6.89,0,0
S8JQUI4S//D59-31,6.87,10,0
S8K73W3V//D59-31-1-CT,5.16,10,0
S8KEKHV7//D37-6-3,6.03,0,0
S8KLBHKI//D37-8,6.89,0,0
S8L1IVBG//D37-6-4-CT,5.17,0,0
S8LO01LP//D59-32,6.87,10,0
S8LPH3OJ//D37-14,6.89,0,0
S8LW82QD//D37-9,6.89,10,0
S8MGW5D3//D37-13,6.89,0,0
S8N1M6RQ//D40-5,6.89,10,0
S8N5DET0//D37-12,6.89,10,0
S8N64U42//D37-14-1CT,6.03,0,0
S8N8D6UE//D37-10,6.89,10,0
S8NECJMT//D59-33,6.87,10,0
S8NFTLTD//D37-15,6.89,0,0
S8OJ9Q29//D37-11,6.89,10,0
S8PCWX9A//D59-34,6.87,10,0
S8Q7DWB0//D40-6,6.89,10,0
S8QN49G7//D37-16,6.89,0,0
S8RSQJ24//D59-35,6.87,10,0
S8SNWS2N//D59-36,6.87,10,0
S8TKM4BV//D40-7,6.89,10,0
S8TWL889//D37-17,6.89,0,0
S8UU1M6K//D59-37,6.87,10,0
S8W1O3VO//D59-38,6.87,10,0
S8XKSIKL//D59-39,6.87,10,0
S91H6L3M//D59-40,6.87,10,0
S935AS15//D59-41,6.87,10,0
S9362F3T//D37-18CT,6.89,0,0
S943H17G//D37-19,6.89,0,0
S94UER5Q//D59-42,6.87,10,0
S95TCFBF//D37-20,6.89,0,0
S96NR3FP//D59-43,6.87,10,0
S98JDOV2//D59-44,6.87,10,0
S9B6FE4T//D59-45,6.87,10,0
S9C9TIPU//D59-46,6.87,10,0
S9EKF18O//D59-47,6.87,10,0
S9G9AN83//D59-48,6.87,10,0
S9GNI37M//D59-49,6.87,10,0
S9H009WP//D59-48-1,6.01,10,0
S9HK78CL//D59-48-2,6.01,10,0
S9IG4WEF//D59-50,6.87,10,0
S9JAJQF3//D59-48-3,6.01,10,0
S9K78VHR//D59-51,6.87,10,0
S9L5EWSE//D59-48-4,6.01,10,0
S9M5TB4P//D59-52,6.87,10,0
S9MNRWGQ//D59-48-5,6.01,10,0
S9ODF1BO//D59-53,6.87,10,0
S9OEVVL6//D59-48-6,6.01,10,0
S9PP31O3//D59-48-7,6.01,10,0
S9QN92WJ//D59-48-8,6.01,10,0
S9R185I1//D59-54,6.87,10,0
S9R5OS3P//D59-48-9,6.01,10,0
S9SL4188//D59-55,6.87,10,0
S9SVK89X//D59-48-10,6.01,10,0
S9UVNI1O//D59-48-11,6.01,10,0
S9VK4R87//D59-56,6.87,10,0
S9WS1K4W//D59-57,6.87,10,0
S9WVQRRJ//D59-48-12,6.01,10,0
SA046O6W//D59-58,6.87,10,0
SA0WLIL2//D59-48-13,6.01,10,0
SA20IQMI//D59-59,6.87,10,0
SA2M8LLM//D59-48-14,6.01,10,0
SA3FW02P//D59-60,6.87,10,0
SA4W2N0P//D59-48-15,6.01,0,0
SA5L9D5K//D59-61,6.87,10,0
SA715OGG//D59-62,6.87,10,0
SA8L1K81//D59-63,6.87,10,0
SA9A8AUC//D59-64,6.87,10,0
SAA3VNQU//D59-63-1-CT,5.16,10,0
SAA3VNV0//D59-65,6.87,10,0
SAAR4EJ8//D59-66,6.87,10,0
SAF2AALR//D59-67,6.87,10,0
SAHBCV02//D59-68,6.87,10,0
SAHF4495//D59-68-1-CT,5.16,10,0
SAJTES0E//D59-69,6.87,10,0
SAM60AF0//D59-70,6.87,10,10
SAOEBFMR//D59-71,6.87,10,0
SAQ6WASR//D59-72,6.87,10,0
SAS99VNN//D59-73,6.87,10,0
SATW5JKO//D59-74,6.87,10,0
SAX2EF03//D59-76-1 CT,6.01,10,0
SAXCULNU//D59-76,6.87,10,0
SB15HGUF//D59-77,6.87,10,0
SB32L0DN//D59-78,6.87,10,0
SB4W7LQT//D59-79-1 CT,6.01,10,0
SB51WT27//D59-79,6.87,10,0
SB65CXNO//D59-80 CT,6.87,10,0
TAWHA09W//D59-75,6.87,10,0
